nearest_facility_id,nearest_facility_type,acq_date,daily_detections,daily_total_frp_mw,daily_max_frp_mw
L100000102149,coal_power,2025-08-18,1,3.32,3.32
L100000102149,coal_power,2025-08-28,1,3.4,3.4
L100000102149,coal_power,2025-09-08,1,1.45,1.45
L100000102149,coal_power,2025-09-17,1,1.15,1.15
L100000102149,coal_power,2025-09-25,1,0.38,0.38
L100000102149,coal_power,2025-10-05,1,0.86,0.86
L100000102149,coal_power,2025-10-06,2,2.3,1.15
L100000102149,coal_power,2025-10-07,1,1.92,1.92
L100000102149,coal_power,2025-10-10,1,1.2,1.2
L100000102149,coal_power,2025-10-11,2,1.72,0.86
L100000102149,coal_power,2025-10-12,2,2.12,1.39
L100000102149,coal_power,2025-10-13,1,0.89,0.89
L100000102149,coal_power,2025-10-14,2,2.95,1.55
L100000102149,coal_power,2025-10-15,2,3.9000000000000004,2.33
L100000102149,coal_power,2025-10-16,1,1.22,1.22
L100000102149,coal_power,2025-10-17,1,1.71,1.71
L100000102149,coal_power,2025-10-18,1,1.18,1.18
L100000102149,coal_power,2025-10-19,2,2.54,1.4
L100000102149,coal_power,2025-10-20,1,2.02,2.02
L100000102149,coal_power,2025-10-21,1,2.61,2.61
L100000102149,coal_power,2025-10-22,2,4.13,2.54
L100000102149,coal_power,2025-10-23,1,1.98,1.98
L100000102149,coal_power,2025-10-24,2,3.98,2.0
L100000102149,coal_power,2025-10-26,1,1.54,1.54
L100000102149,coal_power,2025-10-28,1,2.65,2.65
L100000102149,coal_power,2025-10-29,1,1.21,1.21
L100000102149,coal_power,2025-10-31,1,1.77,1.77
L100000102149,coal_power,2025-11-01,1,2.52,2.52
L100000102149,coal_power,2025-11-02,1,2.39,2.39
L100000102149,coal_power,2025-11-03,1,2.4,2.4
L100000102149,coal_power,2025-11-04,1,3.07,3.07
L100000102149,coal_power,2025-11-06,1,2.17,2.17
L100000102149,coal_power,2025-11-07,1,2.99,2.99
L100000102149,coal_power,2025-11-08,1,1.6,1.6
L100000102149,coal_power,2025-11-10,1,1.77,1.77
L100000102149,coal_power,2025-11-12,1,1.87,1.87
L100000102149,coal_power,2025-11-13,1,2.94,2.94
L100000102149,coal_power,2025-11-14,3,5.130000000000001,2.16
L100000102149,coal_power,2025-11-15,2,2.0,1.0
L100000102149,coal_power,2025-11-16,1,1.87,1.87
L100000102149,coal_power,2025-11-17,1,1.69,1.69
L100000102149,coal_power,2025-11-20,1,2.4,2.4
L100000102149,coal_power,2025-11-21,1,2.28,2.28
L100000102149,coal_power,2025-11-23,2,3.02,1.51
L100000102149,coal_power,2025-11-24,1,1.89,1.89
L100000102149,coal_power,2025-11-25,1,1.71,1.71
L100000102149,coal_power,2025-11-26,1,2.41,2.41
L100000102149,coal_power,2025-11-29,1,2.76,2.76
L100000102149,coal_power,2025-12-01,2,2.29,1.15
L100000102149,coal_power,2025-12-02,1,2.45,2.45
L100000102149,coal_power,2025-12-04,1,2.95,2.95
L100000102149,coal_power,2025-12-05,3,3.63,1.65
L100000102149,coal_power,2025-12-06,2,3.0500000000000003,2.12
L100000102149,coal_power,2025-12-07,1,1.36,1.36
L100000102149,coal_power,2025-12-08,2,2.4299999999999997,1.23
L100000102149,coal_power,2025-12-09,1,1.11,1.11
L100000102149,coal_power,2025-12-10,2,2.9400000000000004,1.82
L100000102149,coal_power,2025-12-11,1,2.42,2.42
L100000102149,coal_power,2025-12-12,2,4.18,2.12
L100000102149,coal_power,2025-12-13,1,2.31,2.31
L100000102149,coal_power,2025-12-14,2,2.0,1.0
L100000102149,coal_power,2025-12-15,1,1.14,1.14
L100000102149,coal_power,2025-12-16,2,3.3,1.97
L100000102149,coal_power,2025-12-17,1,2.2,2.2
