nearest_facility_id,nearest_facility_type,month,detections,active_days,mean_frp_mw,max_frp_mw
L100000102492,coal_power,6,26,13,2.773076923076923,7.81
L100000102492,coal_power,7,8,5,3.15625,8.08
L100000102492,coal_power,8,15,9,2.52,6.63
L100000102492,coal_power,9,34,18,2.5502941176470593,5.36
L100000102492,coal_power,10,54,20,2.147962962962963,5.61
L100000102492,coal_power,11,66,29,2.611818181818182,7.79
L100000102492,coal_power,12,88,31,2.526931818181818,6.01
L100000102493,coal_power,1,1,1,3.35,3.35
L100000102493,coal_power,3,2,2,7.635,11.87
L100000102493,coal_power,4,1,1,5.68,5.68
L100000102493,coal_power,12,1,1,2.99,2.99
L100000102494,coal_power,1,3,3,0.8766666666666666,1.14
L100000102494,coal_power,2,2,2,1.65,2.27
L100000102494,coal_power,3,1,1,0.68,0.68
L100000102494,coal_power,4,2,2,2.185,2.78
L100000102494,coal_power,8,1,1,0.7,0.7
L100000102494,coal_power,9,1,1,0.48,0.48
L100000102494,coal_power,11,2,2,2.26,3.31
L100000102494,coal_power,12,10,8,1.7510000000000001,4.98
L100000102500,coal_power,2,1,1,2.5,2.5
L100000102500,coal_power,3,2,2,4.1450000000000005,5.36
L100000102501,coal_power,1,1,1,7.83,7.83
L100000102501,coal_power,2,4,4,2.48,4.44
L100000102501,coal_power,3,1,1,5.3,5.3
L100000102501,coal_power,12,2,1,3.755,3.78
L100000102503,coal_power,2,2,1,5.665,6.01
L100000102508,coal_power,5,2,1,2.4450000000000003,2.73
L100000102509,coal_power,3,1,1,7.46,7.46
L100000102510,coal_power,5,8,3,7.5024999999999995,12.76
L100000102511,coal_power,5,3,2,4.423333333333333,5.25
L100000102511,coal_power,10,1,1,3.46,3.46
L100000102512,coal_power,1,7,6,1.2285714285714284,2.03
L100000102512,coal_power,3,1,1,3.04,3.04
L100000102540,coal_power,2,1,1,0.75,0.75
L100000102540,coal_power,7,1,1,0.5,0.5
L100000102540,coal_power,10,1,1,0.96,0.96
L100000102540,coal_power,11,1,1,0.36,0.36
L100000102540,coal_power,12,1,1,0.51,0.51
L100000102548,coal_power,1,1,1,0.77,0.77
L100000102548,coal_power,4,1,1,2.12,2.12
L100000102548,coal_power,8,2,2,1.8399999999999999,2.84
L100000102548,coal_power,10,3,2,1.0533333333333335,2.06
L100000102549,coal_power,1,4,4,0.925,1.05
L100000102549,coal_power,2,6,6,1.0,1.49
L100000102549,coal_power,3,3,3,1.0466666666666666,1.29
L100000102549,coal_power,4,4,4,1.3275000000000001,1.79
L100000102549,coal_power,6,1,1,0.45,0.45
L100000102549,coal_power,7,2,1,1.45,1.67
L100000102549,coal_power,12,2,2,0.9,0.92
L100000102560,coal_power,1,15,11,1.536,4.3
L100000102560,coal_power,2,19,14,1.9726315789473683,2.94
L100000102560,coal_power,3,10,8,2.649,9.49
L100000102560,coal_power,4,13,6,2.1,5.85
L100000102560,coal_power,5,7,4,1.5342857142857143,2.39
L100000102560,coal_power,6,7,4,1.9157142857142857,3.8
L100000102560,coal_power,7,4,3,2.1425,3.11
L100000102560,coal_power,8,5,4,1.314,1.68
L100000102560,coal_power,9,2,2,1.1600000000000001,1.34
L100000102560,coal_power,10,2,1,1.8900000000000001,2.0
L100000102560,coal_power,11,6,4,1.345,1.91
L100000102560,coal_power,12,17,13,1.7311764705882353,3.59
L100000102569,coal_power,5,1,1,3.06,3.06
L100000102569,coal_power,12,1,1,1.28,1.28
